Mixture,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex8,In1,In3,In4,PVALB,SST,End,Per,Ast,Oli,OPC,Mic,P-value,Correlation,RMSE
11053,0.171923320357077,0,0.100453034755276,0.193862089112512,0.0720968114526481,0,0,0,0.0654696497408542,0.0171251687565466,0.0450413600150301,0.0214837969756246,0.021312242978248,0.00892513073558572,0.0505745335790334,0.188064267496332,0.0205503773359378,0.0231182167092953,0,0.646906009861189,0.797706403613047
11148,0.179119148199552,0,0.108532891147204,0.256205560130335,0.0882290221262296,0,0.011867673209515,0.0498014282669419,0.0411594761404073,0.00361912702620859,0.0667535174492942,0.0599860316225451,0.0189649555382113,0.00863146655560895,0.0465855014325049,0.014328721641487,0.0104413022317161,0.0357741772822385,0,0.644769389801902,0.811367236430201
13394,0.20087097723509,0,0.133641794255978,0.256574956523881,0.0932409118089296,0,0.00129667119209884,0.0219601900047528,0.0632799678811221,0.00643345277113797,0.0610020516711145,0.00641278823245307,0.0258511804252082,0.0102732164564204,0.0644746352233222,0.0201966216449795,0.0126678483030768,0.0218227363704351,0,0.654439878483902,0.798638007731729
13481,0.0488525087755583,0.0193406057168269,0.215040601935052,0.198460873951308,0.106103735103826,0,0.0199790028361017,0.0378641915895506,0.0655901494207078,0,0.137570835300905,0.0373026015170846,0.0191182299852004,0.00664517044616987,0.039174298667625,0.0168499220494648,0.00317646614490444,0.028930806559714,0,0.657659878433054,0.782810732433937
11311,0.187729120559543,0,0.129740912704037,0.239952516220192,0.0995192855569777,0,0,0.0205525017667676,0.0590912407295352,0,0.111251640665132,0.00925716694543497,0.0222706980690077,0.00862685265610857,0.0495965536235175,0.0369641947115468,0.00403574369328875,0.0214115720989103,0,0.687541767756022,0.787556564669006
11342,0.232753198048584,0,0.104487188162485,0.265032253702006,0.0830624391807921,0,0,0.0224257479720347,0.063553922316134,0.00240818560546629,0.0698100603554955,0.00426225000028585,0.0230440504310303,0.00679657088183288,0.0529181260557714,0.0431351870071681,0.00764121321621293,0.0186696070647013,0,0.670161260195139,0.801011912469081
11334,0.00526814130826103,0.0314482704790755,0.175855937371116,0.200350290911711,0.0940599965424802,0,0.00256490646481368,9.7576185418551e-4,0.082923959474742,0.0097470046868296,0.177557773893807,0.0221726147320536,0.0298982928155767,0.00983745865526937,0.0561774808881821,0.0528996925600778,0.0142310393182511,0.0340313780435668,0,0.674648397059902,0.780661232258357
11294,0.122008885953232,0,0.143767602748502,0.215969640983926,0.0802457271039065,0,0.00448496887871982,0.00679149828013992,0.0744419779069976,0.0116638221787531,0.109344315511118,0.0116237451976298,0.0252185339638758,0.00928692429206115,0.0494869819415027,0.0964974371237192,0.0145671298370493,0.024600808098867,0,0.690321847150978,0.778810697475403
11309,0.155641724394981,0,0.0905178564833761,0.261902120136135,0.100490637565382,0,0,0.00879027708940416,0.0594543700547014,0.00304292375673771,0.0692953729630791,0.0595694830141572,0.0230409362440038,0.00917270013929858,0.0846004996684871,0.0132851401823936,0.0255251904684505,0.0356707678394137,0,0.6510615529842,0.805384961875893
11293,0.216270315531263,0,0.0727965069299627,0.216327487680322,0.057376950948855,0,0,0.011257327759117,0.068797569175066,0.00866373825703852,0.0595766911955925,0.056859850303378603,0.0250353222205752,0.0079388028778072,0.0995562944687122,0.0292680662258102,0.0354373225179047,0.0348377539085954,0,0.640571262386156,0.807878544728711
11312,0.0861589677016516,0.00283131738282496,0.223282830428323,0.168788878544774,0.0910168842380628,0,0.0236816030253798,0.00184069346173497,0.0741131107563709,0.0308202587862935,0.117216881278081,0,0.02579072737022,0.0096132871627909,0.0723405359976468,0.0317241121985298,0.014947785830717,0.0258321258365995,0,0.693390444694334,0.754890231592704
